Species,Area,Units,Country,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
AGN,27.7.j_NK,TLW,FR,0,0,0,0,0,0,0,0,0,0
AGN,27.8.a,TLW,FR,0,0,0,0,0,0,0,0,0,0
AGN,27.8.b,TLW,FR,0.01,0,0,0,0,0,1,0,0,0
AGN,27.8_NK,TLW,FR,0,0,0,0,0,0,0,0,0,0
AGN,27_NK,TLW,FR,0,0,0,0,0,0,0,0,0,0
AGN,27.7,TLW,GB,0,0,0,0,0,0,0,0,0,0
AGN,27,TLW,GB,0,0,0,0,0,0,0,0,0,0
AGN,27.7.a,TLW,GB,0,0,0,0,0,0,0,0,0,0
AGN,27.7.b,TLW,GB,0,0,0,0,0,0,0,0,0,0
AGN,27.7.c,TLW,GB,0,0,0,0,0,0,0,0,0,0
AGN,27.7.c_NK,TLW,GB,0,0,0,0,0,0,0,0,0,0
AGN,27.7.d,TLW,GB,0,0,0,0,0,0,0,0,0,0
AGN,27.7.e,TLW,GB,0,0,0,0,0,0,0,0,0,0
AGN,27.7.f,TLW,GB,0,0,0,0,0,0,0,0,0,0
AGN,27.7.g,TLW,GB,0,0,0,0,0,0,0,0,0,0
AGN,27.7.h,TLW,GB,0,0,0,0,0,0,0,0,0,0
AGN,27.7.j,TLW,GB,0,0,0,0,0,0,0,0,0,0
AGN,27.7.j_NK,TLW,GB,0,0,0,0,0,0,0,0,0,0
AGN,27.7.k,TLW,GB,0,0,0,0,0,0,0,0,0,0
AGN,27.7.k_NK,TLW,GB,0,0,0,0,0,0,0,0,0,0
AHN,27.8,TLW,PT,0.06,0,0,0,0,0,0,0,0,0
AHN,27.9,TLW,PT,0.8,1,1,0,1,1,1,1,1,1
AHN,27,TLW,PT,0.92,1,1,1,1,1,1,1,1,1
AHN,27.1,TLW,PT,0.06,0,0,0,0,0,0,0,0,0
AHN,27.10.a,TLW,PT,0.06,0,0,0,0,0,0,0,0,0
AHN,27.10.a.2,TLW,PT,0.06,0,0,0,0,0,0,0,0,0
AHN,27.8.c,TLW,PT,0.06,0,0,0,0,0,0,0,0,0
AHN,27.9.a,TLW,PT,0.8,1,1,0,1,1,1,1,1,0
AHN,27.9_NK,TLW,PT,0,0,0,0,0,0,0,0,0,1
AKJ,27.9,TLW,ES,0,0,0,0,0,0,0,0,0,0
AKJ,27,TLW,ES,0,0,0,0,0,0,0,0,0,0
AKJ,27.9.a,TLW,ES,0,0,0,0,0,0,0,0,0,0
AKL,27.9,TLW,PT,0,0,0,0,0,0,0,0,0,0
AKL,27,TLW,PT,0,0,0,0,0,0,0,0,0,0
AKL,27.9.a,TLW,PT,0,0,0,0,0,0,0,0,0,0
AKL,27.9_NK,TLW,PT,0,0,0,0,0,0,0,0,0,0
ALB,27,TLW,CN,0,0,0,0,0,0,0,0,9,15
ALB,27_NK,TLW,CN,0,0,0,0,0,0,0,0,9,15
